name,D_Mpc,n_points,Rmax_kpc,lambda0_kpc_fixed,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,phi0_rad,Rc_kpc,success
UGC03205,50.0,48,40.04,52.052,0.7692307692307693,1.2045296001483488,0.8598192335442132,10.723467960106062,219.0,0.08389746021130644,0.2566003720210426,4.1083018281291,1.2613127165414588,True
UGC03546,28.7,30,29.23,37.999,0.7692307692307692,2.3220652969428355,-0.8054154005441694,25.161458631356982,193.5,0.055121811421517314,0.010000644683224829,3.0657810853532346,0.0500000056616112,True
UGC03580,20.7,47,27.06,35.178,0.7692307692307693,2.932117168858895,0.46314553029867955,15.40267087456741,120.0,0.16510156752245134,0.2643677353353511,0.5623034549249907,1.531196183135007,True
UGC04278,9.51,25,6.69,8.697000000000001,0.7692307692307692,0.03811759906277506,0.9987311056911732,0.8701846416261599,86.3,0.4548714517963888,0.24585960972835924,5.7652851054377985,2.308205409815962,True
UGC04305,3.45,22,5.52,7.175999999999999,0.7692307692307693,0.2511248822238929,0.9694189903308873,1.5070118490295343,34.85,0.22723250234042355,0.99,2.6828171777987233,1.4993180635854677,True
UGC05005,53.7,11,28.61,37.193,0.7692307692307693,0.0019309964146837133,0.999135910101876,0.81809354338939,99.25,0.3531734571842642,0.7738481613753021,0.25746859999723865,4.35735962318783,True
UGC05253,22.9,73,53.29,69.277,0.7692307692307692,4.09008068264863,-0.5801474422332931,11.852943771045016,244.0,0.013923947782314029,0.01,3.6020291801673863,0.1466678291274667,True
UGC05716,21.3,12,12.37,16.081,0.7692307692307692,0.4953205026960836,0.9959963270368635,0.6970010071049767,73.075,0.27916167086298244,0.8976020172241483,6.266465072822983,1.2078252223944215,True
UGC05721,6.18,23,6.74,8.762,0.7692307692307692,0.3643391653898065,0.9742034179009511,2.6874826775344576,78.44999999999999,0.09031030793674234,0.99,1.927729703259287,0.1681596512611912,True
UGC05750,58.7,11,22.85,29.705000000000002,0.7692307692307693,0.01633726546020736,0.9981258575149683,1.0670565637737144,75.5,0.37042314447867564,0.9028141092697042,1.1045723682419122,1.9472760023715832,True
UGC05764,7.47,10,3.62,4.706,0.7692307692307692,0.971503087744452,0.9844235419634343,1.3258751959345851,52.275,0.11219674020815822,0.010000005763253567,1.564289929428307,0.8019244765647254,True
UGC05829,8.64,11,6.91,8.983,0.7692307692307692,0.017626920853751626,0.9988769747645638,0.5359094577019013,63.15,0.14956683308153781,0.010000004373656475,5.934772957128251,2.426600912758054,True
UGC05986,8.63,15,9.41,12.233,0.7692307692307692,0.10299805400107416,0.9972558852425845,1.3629515399740693,110.5,0.4950717342254284,0.7620103899974113,1.0407104612117004,0.756882561644758,True
UGC06446,12.0,17,10.22,13.286000000000001,0.7692307692307692,0.1012689604210722,0.9862309711707151,1.5970313559955511,83.2,0.22829925542018345,0.6858562975767281,0.0868038880228746,1.1288988322842042,True
UGC06614,88.7,13,64.59,83.96700000000001,0.7692307692307692,0.04293101732235461,0.9588282042128896,2.877695990781119,203.0,0.07420663001721141,0.99,6.2047848209500245,0.05022902629781567,False
UGC06786,29.3,45,34.05,44.265,0.7692307692307692,0.8793903119299286,0.6888501282849564,9.013805175190624,226.0,0.023129220093560863,0.99,1.6944985182027354,0.21816177092705924,True
UGC06787,21.3,71,37.19,48.347,0.7692307692307692,19.73408400176805,0.4351519285375427,14.000989833885392,246.5,0.05367741768691706,0.01,5.743607290219002,0.11656826621833939,True
UGC06917,18.0,11,10.47,13.611,0.7692307692307693,0.3626493287693913,0.9766889265517779,2.376610390782262,107.5,0.06434924457892531,0.99,6.257554682236612,2.0966202656918815,False
UGC06930,18.0,10,16.61,21.593,0.7692307692307692,0.0502402703905705,0.9947033664560958,1.1682721586945497,108.0,0.028222006150723022,0.010000670462465769,0.7972793624909703,2.7263863955121654,True
UGC06983,18.0,17,15.68,20.384,0.7692307692307692,0.42164778137420483,0.942374422601511,3.1575683403472765,108.0,0.0410947249703145,0.01,1.121412121639117,2.1014605406748816,True
UGC07089,18.0,12,9.16,11.908000000000001,0.7692307692307692,0.10969805342913988,0.9928416653887973,1.4762212586256924,75.65,0.19364398978183,0.25608773277508434,6.188593302238681,2.781593068270675,True
UGC07125,19.8,13,18.68,24.284,0.7692307692307693,0.11557270007732841,0.9950690192081025,0.795373230590154,65.25,0.19044435018959077,0.4929222847127072,0.2250703131519425,2.746514160442309,True
UGC07151,6.87,11,5.5,7.15,0.7692307692307692,0.9204467593584214,0.9779771572598583,2.2230754004713877,73.25,0.03370709630153853,0.99,2.0218788787743764,1.2600911821609,True
UGC07323,8.0,10,5.82,7.566000000000001,0.7692307692307692,0.06647110849929967,0.9985661782105035,0.7728639511129348,81.15,0.4118262082693632,0.3322609288959944,6.0515019902664005,1.743305964293598,True
UGC07399,8.43,10,6.13,7.969,0.7692307692307692,0.1350111415229849,0.9956922677397926,1.1024123244439281,101.5,0.03896584598919184,0.010000022876402358,5.970252564889161,1.1535262311400332,True
UGC07524,4.74,31,10.69,13.897,0.7692307692307692,0.24881165057796106,0.9922990824913281,1.6650505364023944,79.94999999999999,0.12558594743782966,0.9899999955543501,6.174935742538463,2.0240121215592484,True
UGC07603,4.7,12,4.11,5.343000000000001,0.7692307692307692,0.20854802226026173,0.9936856959147372,1.0775942145105557,62.25,0.10001239643194773,0.9899999918319072,0.5622776865965006,0.5749826771297002,True
UGC08286,6.5,17,8.04,10.452,0.7692307692307692,0.5408910911708074,0.9893395117601465,1.6762526299773086,83.5,0.01665230198166272,0.01,0.5920875411654409,1.368430882011172,True
UGC08490,4.65,30,10.15,13.195,0.7692307692307693,0.13644033413276013,0.9811331486210849,1.2688894891887679,77.75,0.052159072737022964,0.9899998304610892,1.9231270015415267,0.38974387555169204,True
UGC08550,6.7,11,5.36,6.968000000000001,0.7692307692307692,0.3200806045357662,0.9870571544246574,1.0260327714187474,57.4,0.05392139425081774,0.07388426990112905,5.497864459389665,0.9635651925949541,True
UGC08699,39.3,41,25.7,33.410000000000004,0.7692307692307692,1.271762681810141,0.48184745358743286,7.138165994214865,182.0,0.024869055446805854,0.9899998727142663,5.06811250716582,0.21171601474840954,True
UGC09037,83.6,22,27.96,36.348,0.7692307692307693,0.29324943813345217,0.9740543771929935,3.9484738811476277,153.0,0.0616452888437545,0.01,1.2104402189641317,4.654088790938917,True
UGC09133,57.1,68,108.31,140.803,0.7692307692307693,6.885050131529138,0.9394855486875623,5.81338425746231,228.0,0.07326340832775168,0.99,3.512556620129897,0.05,True
UGC11455,78.6,36,41.93,54.509,0.7692307692307693,1.1202912684562516,0.9897033270419614,6.9536700882442855,272.0,0.1078594137487115,0.9899999465319211,1.7657145611833212,1.524314845985097,True
UGC11557,24.2,12,10.56,13.728000000000002,0.7692307692307692,0.18061717303858743,0.989785343542629,2.6524411292570202,83.05,0.42870151190822303,0.7686356923210171,0.7051213269602117,2.399712441686056,True
UGC11820,18.1,10,15.82,20.566000000000003,0.7692307692307692,0.7354134317101279,0.9932084559091162,2.065257410578901,79.1,0.3716403971393618,0.419894677315342,6.075156753781762,1.6411583662655793,True
UGC11914,16.9,65,9.83,12.779,0.7692307692307693,1.4641786485262727,0.9627462093301368,4.815514022241095,284.0,0.027645857047840113,0.99,2.865927715376863,0.4422422065884727,True
UGC12506,100.6,31,49.99,64.98700000000001,0.7692307692307692,0.07311367692178232,0.9831551818657884,3.84231539152667,231.5,0.233386537027634,0.4541903802772764,2.0423019128251885,1.1940919955540166,True
UGC12632,9.77,15,10.66,13.858,0.7692307692307692,0.08194457839443336,0.9915658770351571,1.340189104641109,73.05,0.032223575024069966,0.010000021946263933,0.0722362963813591,2.514290563338789,True
UGC12732,13.2,16,15.4,20.02,0.7692307692307693,0.432632412677116,0.9846796871288558,2.0316586806168657,93.15,0.1819383422231863,0.22325088748395522,5.489323424699369,3.085555882077673,True
UGCA444,0.98,36,2.62,3.406,0.7692307692307693,0.07541079798688238,0.9884828906235176,0.9466454495773111,35.6,0.0887569011668326,0.01840098036454415,6.113855760913617,0.8849337414938231,True
